ticker,tipo_provento,data_com,data_pagamento,valor
GEPA4,REST CAP DIN,1414713600000000000,1415318400000000000,5.294743
GEPA4,DIVIDENDO,1412208000000000000,1415059200000000000,2.292675
GETT11,JRS CAP PROPRIO,1655164800000000000,1656288000000000000,0.103098
GETT11,JRS CAP PROPRIO,1642636800000000000,1645142400000000000,0.319559
GETT3,JRS CAP PROPRIO,1655164800000000000,1656288000000000000,0.049094
GETT3,JRS CAP PROPRIO,1642636800000000000,1645142400000000000,0.152171
GETT4,JRS CAP PROPRIO,1655164800000000000,1656288000000000000,0.054003
GETT4,JRS CAP PROPRIO,1642636800000000000,1645142400000000000,0.167388
GFSA3,DIVIDENDO,1461542400000000000,1482364800000000000,0.048116
GFSA3,DIVIDENDO,1398384000000000000,1418256000000000000,0.080398
GFSA3,JRS CAP PROPRIO,1388102400000000000,1392163200000000000,0.311122
GFSA3,DIVIDENDO,1304035200000000000,1325030400000000000,0.2291
GFSA3,DIVIDENDO,1272326400000000000,1292371200000000000,0.12112
GFSA3,DIVIDENDO,1241049600000000000,1261094400000000000,0.2009
GFSA3,DIVIDENDO,1207267200000000000,1209427200000000000,0.2084
GFSA3,DIVIDENDO,1171411200000000000,1176336000000000000,0.1
GFSA3,JRS CAP PROPRIO,1010361600000000000,1041897600000000000,0.2609
GGBR3,DIVIDENDO,1709251200000000000,1710201600000000000,0.1
GGBR3,DIVIDENDO,1700179200000000000,1702425600000000000,0.47
GGBR3,DIVIDENDO,1692316800000000000,1693267200000000000,0.43
GGBR3,JRS CAP PROPRIO,1684108800000000000,1685318400000000000,0.51
GGBR3,DIVIDENDO,1678752000000000000,1679529600000000000,0.2
GGBR3,DIVIDENDO,1668988800000000000,1670976000000000000,1.73
GGBR3,JRS CAP PROPRIO,1668988800000000000,1670976000000000000,0.42
GGBR3,DIVIDENDO,1660521600000000000,1661385600000000000,0.71
GGBR3,JRS CAP PROPRIO,1652659200000000000,1653436800000000000,0.57
GGBR3,DIVIDENDO,1646611200000000000,1647388800000000000,0.2
GGBR3,JRS CAP PROPRIO,1636070400000000000,1637020800000000000,0.2
GGBR3,DIVIDENDO,1636070400000000000,1637020800000000000,1.42
GGBR3,JRS CAP PROPRIO,1632700800000000000,1637020800000000000,0.38
GGBR3,DIVIDENDO,1629072000000000000,1629936000000000000,0.54
GGBR3,DIVIDENDO,1620950400000000000,1621987200000000000,0.4
GGBR3,JRS CAP PROPRIO,1608508800000000000,1616630400000000000,0.17
GGBR3,JRS CAP PROPRIO,1615420800000000000,1616630400000000000,0.13
GGBR3,DIVIDENDO,1604620800000000000,1605657600000000000,0.12
GGBR3,DIVIDENDO,1582848000000000000,1583884800000000000,0.03
GGBR3,DIVIDENDO,1573430400000000000,1574640000000000000,0.04
GGBR3,DIVIDENDO,1565913600000000000,1566950400000000000,0.07
GGBR3,DIVIDENDO,1558051200000000000,1559088000000000000,0.07
GGBR3,DIVIDENDO,1551830400000000000,1552867200000000000,0.1
GGBR3,DIVIDENDO,1542758400000000000,1543795200000000000,0.13
GGBR3,JRS CAP PROPRIO,1534809600000000000,1535673600000000000,0.14
GGBR3,JRS CAP PROPRIO,1526860800000000000,1527811200000000000,0.08
GGBR3,DIVIDENDO,1520553600000000000,1521590400000000000,0.03
GGBR3,DIVIDENDO,1511222400000000000,1512086400000000000,0.03
GGBR3,DIVIDENDO,1503273600000000000,1504224000000000000,0.02
GGBR3,DIVIDENDO,1479686400000000000,1480550400000000000,0.02
GGBR3,DIVIDENDO,1471824000000000000,1472774400000000000,0.03
GGBR3,DIVIDENDO,1447027200000000000,1447891200000000000,0.04
GGBR3,JRS CAP PROPRIO,1440374400000000000,1441324800000000000,0.05
GGBR3,JRS CAP PROPRIO,1432166400000000000,1433203200000000000,0.06
GGBR3,DIVIDENDO,1426464000000000000,1427328000000000000,0.07
GGBR3,JRS CAP PROPRIO,1416182400000000000,1417046400000000000,0.05
GGBR3,DIVIDENDO,1407715200000000000,1408579200000000000,0.06
GGBR3,JRS CAP PROPRIO,1400630400000000000,1401408000000000000,0.07
GGBR4,DIVIDENDO,1709251200000000000,1710201600000000000,0.1
GGBR4,DIVIDENDO,1700179200000000000,1702425600000000000,0.47
GGBR4,DIVIDENDO,1692316800000000000,1693267200000000000,0.43
GGBR4,JRS CAP PROPRIO,1684108800000000000,1685318400000000000,0.51
GGBR4,DIVIDENDO,1678752000000000000,1679529600000000000,0.2
GGBR4,DIVIDENDO,1668988800000000000,1670976000000000000,1.73
GGBR4,JRS CAP PROPRIO,1668988800000000000,1670976000000000000,0.42
GGBR4,DIVIDENDO,1660521600000000000,1661385600000000000,0.71
GGBR4,JRS CAP PROPRIO,1652659200000000000,1653436800000000000,0.57
GGBR4,DIVIDENDO,1646611200000000000,1647388800000000000,0.2
GGBR4,JRS CAP PROPRIO,1636070400000000000,1637020800000000000,0.2
GGBR4,DIVIDENDO,1636070400000000000,1637020800000000000,1.42
GGBR4,JRS CAP PROPRIO,1632700800000000000,1637020800000000000,0.38
GGBR4,DIVIDENDO,1629072000000000000,1629936000000000000,0.54
GGBR4,DIVIDENDO,1620950400000000000,1621987200000000000,0.4
GGBR4,JRS CAP PROPRIO,1615420800000000000,1616630400000000000,0.13
