ticker,tipo_provento,data_com,data_pagamento,valor
SANB4,JRS CAP PROPRIO,2006-01-06,2006-01-06,0.754
SANB4,DIVIDENDO,2004-04-29,2004-04-29,0.001186
SANB4,DIVIDENDO,2003-04-17,2003-04-17,0.00124
SAPR3,JRS CAP PROPRIO,2008-12-30,2008-12-30,0.030612
SAPR3,JRS CAP PROPRIO,2008-06-30,2008-06-30,0.062861
SAPR3,JRS CAP PROPRIO,2007-12-28,2007-12-28,0.045513
SAPR3,JRS CAP PROPRIO,2007-06-29,2007-06-29,0.057502
SAPR3,JRS CAP PROPRIO,2006-12-28,2006-12-28,0.052052
SAPR3,JRS CAP PROPRIO,2006-06-30,2006-06-30,0.064382
SAPR3,JRS CAP PROPRIO,2005-12-29,2005-12-29,0.063011
SAPR3,JRS CAP PROPRIO,2005-06-30,2005-06-30,0.063663
SAPR3,JRS CAP PROPRIO,2004-12-30,2004-12-30,0.139562
SAPR3,JRS CAP PROPRIO,2003-12-30,2003-12-30,0.238539
SAPR3,JRS CAP PROPRIO,2002-12-30,2002-12-30,0.064766
SAPR3,JRS CAP PROPRIO,2002-06-28,2002-06-28,0.091928
SAPR3,JRS CAP PROPRIO,2001-12-28,2001-12-28,1.079899
SAPR3,JRS CAP PROPRIO,2001-06-29,2001-06-29,1.107729
SAPR3,JRS CAP PROPRIO,2000-12-28,2000-12-28,1.046923
SAPR3,JRS CAP PROPRIO,2000-07-31,2000-07-31,1.23572
SAPR4,JRS CAP PROPRIO,2008-12-30,2008-12-30,0.033674
SAPR4,JRS CAP PROPRIO,2008-06-30,2008-06-30,0.069147
SAPR4,JRS CAP PROPRIO,2007-12-28,2007-12-28,0.050064
SAPR4,JRS CAP PROPRIO,2007-06-29,2007-06-29,0.063252
SAPR4,JRS CAP PROPRIO,2006-12-28,2006-12-28,0.057257
SAPR4,JRS CAP PROPRIO,2006-06-30,2006-06-30,0.07082
SAPR4,JRS CAP PROPRIO,2005-12-29,2005-12-29,0.069313
SAPR4,JRS CAP PROPRIO,2005-06-30,2005-06-30,0.07003
SAPR4,JRS CAP PROPRIO,2004-12-30,2004-12-30,0.153518
SAPR4,JRS CAP PROPRIO,2003-12-30,2003-12-30,0.262393
SAPR4,JRS CAP PROPRIO,2002-12-30,2002-12-30,0.071242
SAPR4,JRS CAP PROPRIO,2002-06-28,2002-06-28,0.101121
SAPR4,JRS CAP PROPRIO,2001-12-28,2001-12-28,1.187889
SAPR4,JRS CAP PROPRIO,2001-06-29,2001-06-29,1.218502
SAPR4,JRS CAP PROPRIO,2000-12-28,2000-12-28,1.046923
SAPR4,JRS CAP PROPRIO,2000-07-31,2000-07-31,1.23572
SBSP3,JRS CAP PROPRIO,2008-08-12,2008-08-12,0.88
SBSP3,JRS CAP PROPRIO,2008-02-27,2008-02-27,0.14
SBSP3,JRS CAP PROPRIO,2007-10-29,2007-10-29,1.18
SBSP3,JRS CAP PROPRIO,2006-12-27,2006-12-27,0.00496
SBSP3,JRS CAP PROPRIO,2006-05-03,2006-05-03,0.00455
SBSP3,JRS CAP PROPRIO,2005-12-28,2005-12-28,0.00555
SBSP3,JRS CAP PROPRIO,2005-11-03,2005-11-03,0.00299
SBSP3,JRS CAP PROPRIO,2005-07-06,2005-07-06,0.002345
SBSP3,JRS CAP PROPRIO,2005-05-09,2005-05-09,0.001341
SBSP3,JRS CAP PROPRIO,2005-02-10,2005-02-10,0.00099
SBSP3,JRS CAP PROPRIO,2004-12-29,2004-12-29,0.003
SBSP3,JRS CAP PROPRIO,2004-03-15,2004-03-15,0.00138
SBSP3,JRS CAP PROPRIO,2004-01-19,2004-01-19,0.0067
SBSP3,JRS CAP PROPRIO,2003-12-15,2003-12-15,0.00544
SBSP3,JRS CAP PROPRIO,2003-06-16,2003-06-16,0.00415
SBSP3,JRS CAP PROPRIO,2003-05-08,2003-05-08,0.00141
SBSP3,JRS CAP PROPRIO,2002-06-27,2002-06-27,0.0038
SBSP3,JRS CAP PROPRIO,2002-02-07,2002-02-07,0.0172
SBSP3,JRS CAP PROPRIO,2000-12-14,2000-12-14,0.0045
SBSP3,JRS CAP PROPRIO,2000-09-21,2000-09-21,0.004765
SBSP3,JRS CAP PROPRIO,2000-06-29,2000-06-29,0.0097
SBSP3,JRS CAP PROPRIO,1999-01-28,1999-01-28,4.72
SBSP3,JRS CAP PROPRIO,1998-10-07,1998-10-07,4.6
SBSP3,JRS CAP PROPRIO,1998-08-10,1998-08-10,4.765145
SBSP3,JRS CAP PROPRIO,1998-05-07,1998-05-07,4.343735
SBSP3,JRS CAP PROPRIO,1997-12-23,1997-12-23,3.85631
SBSP3,DIVIDENDO,1997-04-28,1997-04-28,0.504
SCAR3,DIVIDENDO,2022-05-30,2022-05-31,0.143764
SHUL4,JRS CAP PROPRIO,2023-09-23,2024-01-23,0.063395
SHUL4,DIVIDENDO,2023-02-22,2023-07-04,0.06409
SIMH3,DIVIDENDO,2020-04-30,2020-05-14,0.055863
SIMH3,JRS CAP PROPRIO,2020-01-03,2020-02-10,0.188598
SIMH3,JRS CAP PROPRIO,2018-12-28,2019-05-13,0.154976
SIMH3,DIVIDENDO,2016-01-20,2016-01-29,0.969349
SIMH3,JRS CAP PROPRIO,2015-12-21,2016-01-11,0.048467
SIMH3,DIVIDENDO,2015-04-29,2015-05-11,0.002211
SIMH3,JRS CAP PROPRIO,2014-12-23,2015-01-09,0.09016
SIMH3,DIVIDENDO,2014-04-25,2014-05-07,0.014665
SIMH3,JRS CAP PROPRIO,2013-12-13,2014-01-13,0.101891
SIMH3,DIVIDENDO,2013-04-26,2013-05-24,0.017171
SIMH3,JRS CAP PROPRIO,2012-12-17,2013-01-17,0.079371
SIMH3,DIVIDENDO,2012-04-27,2012-05-25,0.011447
