data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
2023-11-16,2023-12-28,,,DIVIDENDO,,0.258650515,BCPX39,2024-01-12 00:00:00.000000000,BRBCPXBDR003,BCPX
2024-05-29,2024-06-10,,,DIVIDENDO,,0.455333333,BCRB39,2024-06-21 00:00:00.000000000,BRBCRBBDR005,BCRB
2023-11-16,2023-12-20,,,DIVIDENDO,,0.5025,BCRB39,2024-01-03 00:00:00.000000000,BRBCRBBDR005,BCRB
2023-08-25,2023-09-04,,,DIVIDENDO,,0.10844,BCRP39,2023-09-14 00:00:00.000000000,BRBCRPBDR005,BCRP
2023-09-27,2023-10-02,,,DIVIDENDO,,0.11026,BCRP39,2023-10-13 00:00:00.000000000,BRBCRPBDR005,BCRP
2023-10-19,2023-10-31,,,DIVIDENDO,,0.11288,BCRP39,2023-11-13 00:00:00.000000000,BRBCRPBDR005,BCRP
2023-11-16,2023-12-01,,,DIVIDENDO,,0.113,BCRP39,2023-12-13 00:00:00.000000000,BRBCRPBDR005,BCRP
2023-11-16,2023-12-27,,,DIVIDENDO,,0.116426901,BCRP39,2024-01-12 00:00:00.000000000,BRBCRPBDR005,BCRP
2024-01-23,2024-01-31,,,DIVIDENDO,,0.117433962,BCRP39,2024-02-15 00:00:00.000000000,BRBCRPBDR005,BCRP
2024-02-22,2024-02-29,,,DIVIDENDO,,0.120188679,BCRP39,2024-03-13 00:00:00.000000000,BRBCRPBDR005,BCRP
2024-03-25,2024-03-28,,,DIVIDENDO,,0.126432432,BCRP39,2024-04-11 00:00:00.000000000,BRBCRPBDR005,BCRP
2024-04-25,2024-04-30,,,DIVIDENDO,,0.126648649,BCRP39,2024-05-13 00:00:00.000000000,BRBCRPBDR005,BCRP
2024-06-24,2024-06-28,,,DIVIDENDO,,0.137563063,BCRP39,2024-07-12 00:00:00.000000000,BRBCRPBDR005,BCRP
2024-05-23,2024-05-31,,,DIVIDENDO,,0.138968468,BCRP39,2024-06-13 00:00:00.000000000,BRBCRPBDR005,BCRP
2024-07-22,2024-07-31,,,DIVIDENDO,,0.145279279,BCRP39,2024-08-13 00:00:00.000000000,BRBCRPBDR005,BCRP
2024-05-29,2024-06-26,,,DIVIDENDO,,0.046725352,BCTE39,2024-07-11 00:00:00.000000000,BRBCTEBDR005,BCTE
2023-11-16,2023-12-28,,,DIVIDENDO,,0.091232394,BCTE39,2024-01-12 00:00:00.000000000,BRBCTEBDR005,BCTE
2024-05-29,2024-06-10,,,DIVIDENDO,,0.334442912,BCWV39,2024-06-21 00:00:00.000000000,BRBCWVBDR003,BCWV
2023-11-16,2023-12-20,,,DIVIDENDO,,0.508902592,BCWV39,2024-01-03 00:00:00.000000000,BRBCWVBDR003,BCWV
2012-04-23,2012-04-23,,ON,DIVIDENDO,172.33,5.917713369,BDLL3,,,BDLL
2024-02-22,2024-03-18,,,DIVIDENDO,,0.07875,BDRE39,2024-03-28 00:00:00.000000000,BRBDREBDR007,BDRE
2023-08-25,2023-09-19,,,DIVIDENDO,,0.15,BDRE39,2023-09-28 00:00:00.000000000,BRBDREBDR007,BDRE
2024-05-29,2024-06-24,,,DIVIDENDO,,0.185,BDRE39,2024-07-03 00:00:00.000000000,BRBDREBDR007,BDRE
2023-11-16,2023-12-19,,,DIVIDENDO,,0.2625,BDRE39,2024-01-02 00:00:00.000000000,BRBDREBDR007,BDRE
2024-05-29,2024-06-26,,,DIVIDENDO,,0.226288889,BDRI39,2024-07-11 00:00:00.000000000,BRBDRIBDR008,BDRI
2023-11-16,2023-12-28,,,DIVIDENDO,,0.247203579,BDRI39,2024-01-12 00:00:00.000000000,BRBDRIBDR008,BDRI
2024-05-23,2024-06-04,,,DIVIDENDO,,0.151495058,BDVD39,2024-06-18 00:00:00.000000000,BRBDVDBDR001,BDVD
